name,nickname,f_name,l_name,wins,loses,ties,height,weight,reach,stance,dob,age,slpm,str_ac,sapm,str_def,td_avg,td_acc,td_def,sub_avg
Harry Hunsucker,The Hurricane,Harry,Hunsucker,7,5,0,74,241,75,Orthodox,"Jan 03, 1989",33,3.83,0.52,6.7,0.42,0.0,0.0,0.0,2.4
Mark Hunt,Super Samoan,Mark,Hunt,13,14,1,70,265,72,Orthodox,"Mar 23, 1974",48,2.81,0.43,2.9,0.51,0.51,0.55,0.64,0.2
Dong Hyun Ma,Maestro,Dong,Hyun,16,11,3,71,155,70,Orthodox,"Sep 09, 1988",33,2.84,0.41,4.1,0.54,1.27,0.53,0.33,0.0
Fiona Muxlow,,Fiona,Muxlow,6,3,0,64,145,N/A,N/A,"May 13, 1977",44,1.44,0.27,5.45,0.34,0.0,0.0,0.0,0.0
Rashid Magomedov,Highlander,Rashid,Magomedov,20,2,0,69,155,70,Orthodox,"Nov 29, 1984",37,4.4,0.49,3.05,0.54,0.67,0.57,0.89,0.2
Elvis Mutapcic,The King,Elvis,Mutapcic,15,6,1,72,185,72,Orthodox,"Jul 19, 1986",35,3.41,0.4,4.27,0.38,0.0,0.0,0.81,0.0
Magomed Mustafaev,The Sniper,Magomed,Mustafaev,14,4,0,68,155,71,Orthodox,"Aug 02, 1988",33,2.59,0.58,2.68,0.41,3.31,0.5,0.23,0.4
Andre Mussi,,Andre,Mussi,11,5,0,75,242,N/A,Orthodox,N/A,N/A,0.0,0.0,10.59,0.35,0.0,0.0,0.0,0.0
Khalid Murtazaliev,,Khalid,Murtazaliev,14,2,0,72,185,76,Orthodox,"Jul 15, 1993",28,4.8,0.69,0.4,0.78,7.5,1.0,0.33,0.0
Ho Bae Myeon,,Ho,Bae,13,5,1,71,168,N/A,Orthodox,N/A,N/A,3.16,0.16,3.16,0.83,0.0,0.0,0.0,0.0
Max Mustaki,,Max,Mustaki,6,3,0,72,155,N/A,Orthodox,"Nov 07, 1987",34,8.2,0.5,13.0,0.45,0.0,0.0,0.0,0.0
Azamat Murzakanov,The Professional,Azamat,Murzakanov,11,0,0,70,225,71,Southpaw,"Apr 12, 1989",33,2.69,0.43,3.42,0.56,1.09,0.16,0.0,0.0
Nicholas Musoke,Nico,Nicholas,Musoke,13,5,0,72,170,75,Orthodox,"Apr 05, 1986",36,3.56,0.35,3.8,0.57,1.16,0.19,0.82,0.2
Patrick Murphy,,Patrick,Murphy,5,3,0,72,170,N/A,N/A,N/A,N/A,3.4,0.66,0.8,0.42,0.0,0.0,0.5,1.0
Jesse Murray,Hollywood,Jesse,Murray,8,4,0,75,205,78,Orthodox,"Jan 26, 1993",29,2.38,0.28,7.72,0.43,0.0,0.0,0.0,0.0
Lee Murray,Lightning,Lee,Murray,8,2,1,75,185,N/A,Orthodox,"Sep 12, 1977",44,0.36,0.15,3.28,0.32,0.9,1.0,0.42,1.8
Lauren Murphy,Lucky,Lauren,Murphy,15,5,0,65,125,67,Orthodox,"Jul 27, 1983",38,3.58,0.38,4.35,0.59,1.03,0.34,0.65,0.1
Ian Murphy,,Ian,Murphy,1,1,0,73,185,N/A,Orthodox,"Jun 14, 1985",36,0.0,0.0,1.93,0.3,4.13,1.0,0.0,0.0
Jon Murphy,Man of Faith,Jon,Murphy,6,4,0,75,260,N/A,Orthodox,"Aug 09, 1977",44,3.93,0.66,8.85,0.43,0.0,0.0,0.0,0.0
Lerone Murphy,The Miracle,Lerone,Murphy,11,0,1,69,145,73,Orthodox,"Jul 22, 1991",30,2.58,0.42,1.9,0.62,0.76,0.33,0.36,0.8
Vince Murdock,,Vince,Murdock,12,4,0,66,145,64,Orthodox,"Mar 21, 1991",31,1.21,0.21,7.17,0.4,0.0,0.0,0.0,0.0
Tom Murphy,,Tom,Murphy,8,0,0,74,227,N/A,Southpaw,"Nov 19, 1974",47,2.5,0.71,0.17,0.84,7.51,0.85,0.0,2.5
Kazunari Murakami,,Kazunari,Murakami,5,5,0,73,220,N/A,Orthodox,"Nov 29, 1973",48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andy Murad,The Tooth Fairy,Andy,Murad,15,2,0,69,185,N/A,N/A,N/A,N/A,2.6,0.76,2.87,0.32,1.0,0.2,0.42,0.0
Ryuichi Murata,,Ryuichi,Murata,8,3,1,68,183,N/A,Orthodox,N/A,N/A,0.84,0.36,1.89,0.5,4.74,0.5,1.0,3.2
Kanako Murata,,Kanako,Murata,12,2,0,61,115,62,Orthodox,"Aug 10, 1993",28,2.08,0.59,2.6,0.53,2.4,0.4,0.0,1.2
Makhmud Muradov,Mach,Makhmud,Muradov,25,7,0,74,185,75,Orthodox,"Feb 08, 1990",32,5.39,0.42,3.17,0.61,0.31,0.16,0.8,0.3
Johnny Munoz,Kid Kvenbo,Johnny,Munoz,11,1,0,69,135,71,Orthodox,"Feb 16, 1993",29,2.79,0.42,1.24,0.67,2.66,0.21,0.0,2.7
Olivier Murad,Warrior of God,Olivier,Murad,6,0,0,70,145,72,Southpaw,"Dec 21, 1993",28,2.6,0.36,2.2,0.61,1.0,1.0,0.55,0.0
Andre Muniz,Sergipano,Andre,Muniz,22,4,0,73,185,78,Southpaw,"Feb 17, 1990",32,2.18,0.57,1.82,0.47,3.6,0.4,0.45,2.9
Jim Mullen,,Jim,Mullen,0,2,0,73,215,N/A,Southpaw,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quinn Mulhern,,Quinn,Mulhern,18,4,0,75,155,N/A,Orthodox,"Sep 20, 1984",37,1.48,0.28,2.09,0.51,1.36,0.2,0.33,0.0
Pedro Munhoz,The Young Punisher,Pedro,Munhoz,19,7,0,66,135,65,Orthodox,"Sep 07, 1986",35,5.5,0.43,6.09,0.58,0.57,0.2,0.81,0.7
Belal Muhammad,Remember the Name,Belal,Muhammad,21,3,0,71,170,72,Orthodox,"Jul 09, 1988",33,4.31,0.43,3.58,0.59,2.29,0.35,0.91,0.2
Fazlo Mulabitinovic,,Fazlo,Mulabitinovic,4,2,0,N/A,135,N/A,N/A,N/A,N/A,0.54,0.16,0.0,1.0,0.0,0.0,0.0,8.0
Garrett Mueller,,Garrett,Mueller,3,3,0,69,135,N/A,N/A,"Jan 29, 1989",33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alexander Munoz,,Alexander,Munoz,6,2,0,69,155,72,Switch,"Feb 27, 1990",32,3.96,0.43,5.49,0.52,3.0,0.39,0.0,0.0
Askar Mozharov,No Mercy,Askar,Mozharov,21,8,0,75,205,N/A,N/A,"Oct 26, 1994",27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lauren Mueller,Princess Tiger,Lauren,Mueller,5,3,0,65,125,67,Orthodox,"Nov 15, 1991",30,4.08,0.41,3.77,0.58,0.7,0.5,0.71,0.0
Jamie Mullarkey,,Jamie,Mullarkey,14,5,0,72,155,74,Orthodox,"Aug 17, 1994",27,3.42,0.43,5.05,0.47,3.38,0.32,0.57,0.3
James Mulheron,,James,Mulheron,11,2,0,70,243,73,Orthodox,"Feb 20, 1988",34,2.4,0.31,3.47,0.42,0.0,0.0,0.25,0.0
Mark Munoz,The Filipino Wrecking Machine,Mark,Munoz,14,6,0,72,185,71,Orthodox,"Feb 09, 1978",44,3.12,0.51,2.26,0.57,3.17,0.29,0.57,0.6
Jamie Moyle,,Jamie,Moyle,4,3,0,61,115,65,Orthodox,"Mar 17, 1989",33,4.51,0.51,4.0,0.65,1.0,0.21,0.5,0.0
Kris Moutinho,,Kris,Moutinho,9,6,0,67,135,68,Southpaw,"Aug 09, 1992",29,4.86,0.32,15.48,0.28,0.0,0.0,0.0,0.0
Kin Moy,Kong,Kin,Moy,8,3,0,65,135,N/A,N/A,N/A,N/A,2.3,0.33,1.93,0.62,1.67,0.42,0.5,1.7
Nikolas Motta,Iron,Nikolas,Motta,12,4,0,69,155,70,Orthodox,"Feb 08, 1993",29,2.87,0.3,4.64,0.6,0.0,0.0,1.0,0.0
Juan Mott,,Juan,Mott,3,4,0,72,190,N/A,Switch,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flavio Luiz Moura,,Flavio,Luiz,19,7,0,71,183,N/A,Open Stance,N/A,N/A,0.67,0.16,0.0,0.0,0.0,0.0,0.0,0.0
Brad Morris,,Brad,Morris,10,6,0,74,205,N/A,Orthodox,"Nov 01, 1979",42,0.5,0.62,6.95,0.27,0.0,0.0,0.0,0.0
Harry Moskowitz,Dirty,Harry,Moskowitz,6,12,0,77,275,N/A,Orthodox,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Morrison,Cheesesteak,Anthony,Morrison,20,12,0,67,145,N/A,Orthodox,"Mar 29, 1984",38,1.7,0.33,0.49,0.8,0.0,0.0,0.5,0.0
Gegard Mousasi,,Gegard,Mousasi,42,6,2,74,185,76,Orthodox,"Aug 01, 1985",36,3.75,0.5,1.21,0.68,1.59,0.6,0.59,1.1
Scott Morris,,Scott,Morris,2,1,0,70,210,N/A,Orthodox,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maryna Moroz,Iron Lady,Maryna,Moroz,11,3,0,67,125,67,Orthodox,"Sep 08, 1991",30,4.04,0.32,3.98,0.52,0.78,0.22,0.47,0.8
Peggy Morgan,The Daywalker,Peggy,Morgan,4,4,0,73,135,N/A,N/A,"Dec 16, 1979",42,2.27,0.23,8.2,0.33,0.0,0.0,0.5,0.0
Sergey Morozov,,Sergey,Morozov,17,5,0,66,135,67,Orthodox,"Jun 14, 1989",32,2.78,0.44,2.96,0.58,3.28,0.33,0.61,0.0
Sammy Morgan,The Squeeze,Sammy,Morgan,18,12,0,70,170,N/A,Orthodox,"Sep 28, 1981",40,1.05,0.22,3.74,0.4,1.43,0.2,0.0,0.5
Alex Morono,The Great White,Alex,Morono,21,7,0,71,170,72,Orthodox,"Aug 16, 1990",31,5.21,0.42,3.93,0.56,0.35,0.25,0.53,0.3
Mike Moreno,El Palo Duro,Mike,Moreno,6,5,0,72,185,N/A,N/A,N/A,N/A,1.27,0.51,1.07,0.58,0.0,0.0,0.44,0.0
Dan Moret,The Hitman,Dan,Moret,13,6,0,72,155,73,Southpaw,"Nov 21, 1986",35,2.67,0.43,3.56,0.43,1.25,0.27,0.45,0.4
Gisele Moreira,,Gisele,Moreira,8,3,0,66,135,N/A,Orthodox,"Jan 14, 1981",41,5.93,0.42,6.33,0.48,4.0,0.57,0.0,0.0
Jesse Moreng,Arturo,Jesse,Moreng,9,1,0,67,145,N/A,Orthodox,"Nov 09, 1979",42,1.26,0.4,2.08,0.48,5.56,1.0,1.0,0.0
Brandon Moreno,The Assassin Baby,Brandon,Moreno,19,6,2,67,125,70,Orthodox,"Dec 07, 1993",28,3.54,0.39,3.31,0.57,1.84,0.47,0.69,0.7
Jack Morrison,,Jack,Morrison,0,3,0,71,205,N/A,N/A,N/A,N/A,0.0,0.0,19.31,0.4,0.0,0.0,0.0,0.0
Joe Moreira,,Joe,Moreira,2,2,0,71,195,N/A,Southpaw,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Christian Morecraft,,Christian,Morecraft,8,3,0,78,260,81,Orthodox,"Sep 08, 1986",35,2.82,0.34,2.46,0.46,3.26,0.66,0.5,2.2
Vinicius Moreira,Mamute,Vinicius,Moreira,9,5,0,76,205,76,Orthodox,"Feb 28, 1989",33,3.15,0.59,5.07,0.43,1.97,0.18,0.0,1.3
Sarah Moras,Cheesecake,Sarah,Moras,6,8,0,67,135,67,Orthodox,"Apr 30, 1988",33,2.28,0.34,3.58,0.5,0.67,0.21,0.33,0.8
Michael Morales,,Michael,Morales,13,0,0,72,170,79,Orthodox,"Jun 24, 1999",22,4.14,0.48,3.14,0.36,3.14,0.44,0.85,0.0
Vince Morales,Vandetta,Vince,Morales,11,5,0,67,135,70,Orthodox,"Nov 12, 1990",31,4.62,0.39,4.25,0.54,0.19,0.25,0.5,0.0
Omar Morales,Venezuelan Fighter,Omar,Morales,11,2,0,71,145,73,Orthodox,"Oct 17, 1985",36,3.4,0.38,2.83,0.63,0.6,1.0,0.63,0.0
Ricardo Morais,The Mutant,Ricardo,Morais,10,4,1,80,270,N/A,Orthodox,"Feb 26, 1967",55,2.86,0.37,2.39,0.53,0.0,0.0,0.0,0.0
John Moraga,,John,Moraga,19,7,0,66,125,66,Orthodox,"Mar 20, 1984",38,2.57,0.43,2.55,0.56,0.62,0.23,0.44,1.1
Richardson Moreira,Rick Monstro,Richardson,Moreira,7,4,0,74,185,N/A,Orthodox,"Mar 31, 1984",38,1.17,0.28,1.83,0.67,0.0,0.0,1.0,0.0
Leonardo Morales,Chimy,Leonardo,Morales,6,2,0,68,135,N/A,Southpaw,"Dec 22, 1992",29,2.05,0.47,2.05,0.58,0.0,0.0,0.62,0.0
Sheymon Moraes,,Sheymon,Moraes,11,4,0,68,145,72,Orthodox,"Oct 11, 1990",31,3.0,0.42,3.64,0.63,0.0,0.0,0.53,0.0
Marlon Moraes,Magic,Marlon,Moraes,23,10,1,66,135,67,Orthodox,"Apr 26, 1988",34,3.37,0.4,4.53,0.54,0.87,0.41,0.46,0.3
Taylor Moore,,Taylor,Moore,10,5,0,70,135,70,Southpaw,"Oct 16, 1993",28,0.2,0.75,2.07,0.42,0.0,0.0,0.25,0.0
Joseph Morales,,Joseph,Morales,9,2,0,66,125,69,Switch,"Aug 22, 1994",27,1.58,0.37,1.72,0.6,0.53,0.5,0.23,2.6
Nate Moore,,Nate,Moore,8,4,0,72,170,N/A,N/A,N/A,N/A,2.21,0.25,2.87,0.42,1.23,0.16,0.25,0.0
Albert Morales,The Warrior,Albert,Morales,7,4,1,69,135,72,Orthodox,"May 25, 1991",30,3.81,0.35,3.96,0.56,0.91,0.35,0.7,0.2
Todd Moore,,Todd,Moore,16,7,0,69,170,71,Southpaw,"Dec 30, 1983",38,1.83,0.26,2.3,0.57,0.78,0.14,0.54,0.0
Dustin Moore,,Dustin,Moore,0,2,0,64,125,N/A,N/A,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sergio Moraes,The Panther,Sergio,Moraes,14,6,1,72,170,72,Orthodox,"Jul 23, 1982",39,2.42,0.42,3.73,0.59,1.2,0.38,0.75,0.4
James Moontasri,Moon Walker,James,Moontasri,9,5,0,70,170,71,Switch,"Apr 10, 1988",34,2.39,0.48,3.86,0.4,0.0,0.0,0.79,0.2
Nicco Montano,,Nicco,Montano,5,3,0,65,135,65,Southpaw,"Dec 16, 1988",33,5.6,0.41,4.43,0.64,2.25,0.54,0.69,0.4
Homer Moore,The Rock,Homer,Moore,26,9,2,70,205,N/A,Orthodox,"Nov 27, 1971",50,0.68,0.5,0.68,0.0,5.07,0.66,0.0,0.0
Alberto Montes,The Promise,Alberto,Montes,4,0,0,67,135,N/A,N/A,"May 31, 1994",27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Augusto Montano,Dodger,Augusto,Montano,15,3,0,73,170,73,Orthodox,"Oct 25, 1984",37,3.46,0.46,2.66,0.56,0.0,0.0,0.66,0.0
Steve Montgomery,The Creepy Weasel,Steve,Montgomery,9,5,0,76,185,N/A,Southpaw,"Dec 19, 1990",31,4.85,0.39,4.12,0.47,0.0,0.0,0.64,0.0
Andrew Montanez,,Andrew,Montanez,9,12,1,N/A,185,N/A,N/A,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Erick Montano,Perry,Erick,Montano,7,5,0,72,170,73,Orthodox,"Nov 19, 1985",36,2.79,0.44,2.06,0.64,2.29,0.36,0.66,0.0
Jeff Monson,The Snowman,Jeff,Monson,60,26,1,69,247,74,Orthodox,"Jan 18, 1971",51,0.97,0.3,2.87,0.59,1.06,0.12,0.66,0.7
Darrell Montague,Mongoose,Darrell,Montague,13,5,0,66,125,67,Southpaw,"Nov 03, 1987",34,1.92,0.25,5.38,0.52,0.72,0.25,0.33,1.4
Hidetaka Monma,,Hidetaka,Monma,18,11,4,72,168,N/A,Orthodox,"Oct 23, 1973",48,1.67,0.25,9.76,0.34,0.0,0.0,0.0,0.0
Rudyard Moncayo,,Rudyard,Moncayo,0,3,0,70,195,N/A,Orthodox,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dan Molina,,Dan,Molina,13,9,0,70,216,N/A,N/A,"Jun 14, 1984",37,0.0,0.0,5.58,0.6,0.0,0.0,0.0,20.9
Suman Mokhtarian,,Suman,Mokhtarian,8,5,0,68,145,72,Orthodox,"Jun 13, 1992",29,2.21,0.43,6.85,0.48,0.0,0.0,0.0,0.0
Jeff Molina,El Jefe,Jeff,Molina,10,2,0,66,125,69,Orthodox,"Jul 17, 1997",24,8.72,0.5,6.12,0.53,0.0,0.0,0.37,0.0
Muhammad Mokaev,The Punisher,Muhammad,Mokaev,7,0,0,67,125,70,Orthodox,"Jul 30, 2000",21,2.07,0.4,1.03,0.8,0.0,0.0,0.0,15.5
Ashkan Mokhtarian,The Assassin,Ashkan,Mokhtarian,13,3,0,66,125,67,Southpaw,"Sep 15, 1985",36,1.95,0.43,3.66,0.43,0.54,0.16,0.33,0.0
Thiago Moises,,Thiago,Moises,15,6,0,69,155,70,Orthodox,"Mar 23, 1995",27,2.52,0.37,4.12,0.56,1.0,0.35,0.6,1.1
Nate Mohr,,Nate,Mohr,9,7,0,69,155,72,Orthodox,"Mar 03, 1983",39,3.79,0.41,2.5,0.74,0.45,0.5,0.71,0.0
Renato Moicano,,Renato,Moicano,16,5,1,71,155,72,Orthodox,"May 21, 1989",32,4.8,0.48,4.07,0.61,1.7,0.48,0.73,0.6
Bobby Moffett,The Wolfman,Bobby,Moffett,13,5,0,70,145,73,Orthodox,"Jun 01, 1990",31,3.41,0.39,3.15,0.61,2.74,0.66,0.66,1.4
Roxanne Modafferi,The Happy Warrior,Roxanne,Modafferi,25,21,0,67,125,69,Orthodox,"Sep 24, 1982",39,3.35,0.3,5.7,0.51,1.35,0.23,0.3,0.1
Tatsuya Mizuno,,Tatsuya,Mizuno,16,12,1,73,205,N/A,Southpaw,"Jun 02, 1981",40,2.25,0.37,3.52,0.53,1.19,0.25,0.4,3.6
Takeya Mizugaki,,Takeya,Mizugaki,21,11,2,67,135,69,Orthodox,"Dec 16, 1983",38,3.37,0.37,3.27,0.57,1.46,0.57,0.7,0.1
Motoki Miyazawa,,Motoki,Miyazawa,7,3,0,71,168,N/A,Southpaw,N/A,N/A,1.23,0.28,3.91,0.61,0.0,0.0,0.0,0.0
Jonathan  Mix,,Jonathan,,7,4,0,72,168,N/A,N/A,"Nov 09, 1980",41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hiromitsu Miura,,Hiromitsu,Miura,12,7,0,69,170,71,Orthodox,"Sep 22, 1981",40,2.12,0.34,2.12,0.58,2.23,0.5,0.69,0.6
Kazuyuki Miyata,,Kazuyuki,Miyata,15,9,0,68,139,N/A,Orthodox,N/A,N/A,2.04,0.52,1.82,0.63,4.31,0.46,0.68,0.0
Roman Mitichyan,,Roman,Mitichyan,8,3,0,70,170,N/A,Orthodox,"Sep 04, 1978",43,0.26,0.16,2.7,0.43,1.93,1.0,0.25,1.9
Bronson Mohika,,Bronson,Mohika,1,1,0,N/A,135,N/A,N/A,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eiji Mitsuoka,,Eiji,Mitsuoka,18,9,2,67,145,N/A,Southpaw,"Jan 01, 1976",46,1.49,0.49,2.26,0.45,2.3,0.36,0.2,1.6
Matt Mitrione,,Matt,Mitrione,12,5,0,75,265,82,Switch,"Jul 15, 1978",43,3.55,0.5,2.79,0.64,0.0,0.0,0.55,0.7
Clay Mitchell,,Clay,Mitchell,1,2,0,74,185,N/A,N/A,N/A,N/A,1.63,0.85,0.0,0.0,0.0,0.0,1.0,4.1
Bryce Mitchell,Thug Nasty,Bryce,Mitchell,15,1,0,70,145,70,Southpaw,"Oct 04, 1994",27,2.28,0.63,1.39,0.59,3.4,0.52,0.33,1.9
Brad Mitchell,,Brad,Mitchell,4,2,0,71,145,N/A,N/A,"Oct 10, 1974",47,1.15,0.33,4.2,0.52,0.0,0.0,1.0,1.9
Tomoya Miyashita,,Tomoya,Miyashita,17,9,7,67,139,N/A,Southpaw,N/A,N/A,1.67,0.65,0.93,0.33,4.0,0.8,0.0,2.0
Felix Lee Mitchell,,Felix,Lee,2,7,0,N/A,N/A,N/A,Orthodox,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Danny Mitchell,The Cheesecake Assassin,Danny,Mitchell,19,9,1,74,170,N/A,Orthodox,"Aug 08, 1986",35,2.53,0.49,2.53,0.52,0.0,0.0,1.0,3.0
David Mitchell,Daudi,David,Mitchell,22,7,0,72,170,75,Orthodox,"Oct 24, 1979",42,1.74,0.32,2.06,0.55,0.66,0.5,0.29,2.0
Kazuo Misaki,Hitman,Kazuo,Misaki,25,11,2,68,183,N/A,Orthodox,"Apr 25, 1976",46,2.85,0.4,2.74,0.63,0.72,0.38,0.51,0.6
Dokonjonosuke Mishima,,Dokonjonosuke,Mishima,21,7,2,67,155,N/A,Southpaw,"Apr 19, 1972",50,1.06,0.41,1.22,0.52,2.47,0.4,0.25,1.4
Maurice Mitchell,The AK Kid,Maurice,Mitchell,11,2,0,69,145,N/A,Orthodox,"Jun 29, 1987",34,3.8,0.55,3.54,0.6,0.0,0.0,1.0,0.0
Mario Miranda,,Mario,Miranda,14,7,0,75,185,74,Orthodox,"Jul 12, 1979",42,1.96,0.54,2.46,0.36,1.02,0.6,0.54,0.0
Vitor Miranda,Lex Luthor,Vitor,Miranda,12,5,0,73,185,77,Orthodox,"Mar 10, 1979",43,2.98,0.45,2.95,0.58,0.95,0.55,0.5,0.2
Damir Mirenic,Wolf,Damir,Mirenic,9,4,0,72,185,N/A,Orthodox,"Aug 02, 1974",47,0.84,0.5,9.86,0.35,0.0,0.0,0.0,0.0
Stipe Miocic,,Stipe,Miocic,20,4,0,76,240,80,Orthodox,"Aug 19, 1982",39,4.82,0.53,3.82,0.54,1.86,0.34,0.68,0.0
Juan Miranda,,Juan,Miranda,7,5,0,N/A,155,N/A,N/A,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carlton Minus,Clutch,Carlton,Minus,10,3,0,70,170,75,Orthodox,"Apr 26, 1993",29,3.5,0.4,4.97,0.5,0.0,0.0,0.58,0.0
Toby Misech,2 Quick,Toby,Misech,9,5,0,68,145,N/A,Southpaw,"Mar 07, 1988",34,3.27,0.4,7.73,0.46,0.0,0.0,0.0,0.0
Frank Mir,,Frank,Mir,18,11,0,75,264,79,Southpaw,"May 24, 1979",42,2.18,0.47,3.84,0.38,2.02,0.4,0.54,2.0
Darrick Minner,,Darrick,Minner,26,13,0,67,145,69,Orthodox,"Apr 28, 1990",31,2.58,0.64,1.95,0.32,2.46,0.72,0.66,2.8
Vitaly Minakov,,Vitaly,Minakov,20,0,0,74,249,N/A,N/A,"Feb 06, 1985",37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mike Minniger,,Mike,Minniger,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ikuhisa Minowa,Minowaman,Ikuhisa,Minowa,60,42,8,69,181,N/A,Orthodox,"Jan 12, 1976",46,0.88,0.4,1.66,0.49,1.82,0.41,0.05,1.9
Adam Milstead,The Prototype,Adam,Milstead,8,4,0,75,205,76,Orthodox,"Jul 03, 1987",34,3.85,0.46,4.79,0.43,0.0,0.0,0.64,0.0
Eddy Millis,,Eddy,Millis,0,2,0,73,185,N/A,N/A,N/A,N/A,0.0,0.0,3.36,0.22,0.0,0.0,0.0,7.2
